permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
21-06270525,SOLAR PANELS ON RESIDENTIAL ROOF,2021-12-10,2021-06-10,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-12-28,234,8351,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27511,10264.54,Cary,27511
21-06280538,SOLAR PV SYSTEM,2021-10-13,2021-06-10,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-18,0,12528,"BELLO SOLAR ENERGY, LLC",GENERAL CONTRACTOR,84097,27519,15398.65,Cary,27519
21-06290526,SOLAR PANELS ON RESIDENTIAL ROOF,2021-09-28,2021-06-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-02-11,221,6032,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27513,7414.16,Cary,27513
21-06301794,SOLAR PANELS ON RESIDENTIAL ROOF,2021-08-09,2021-06-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-02,714,21300,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27519,26180.65,Cary,27519
21-06311780,SOLAR PV SYSTEM,,2021-06-14,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2023-03-24,0,16910,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,20784.73,Cary,27519
21-06320532,SOLAR PV SYSTEM,2021-12-20,2021-06-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-04-16,0,10672,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27511,13117.37,Cary,27511
21-06330212,SOLAR PV SYSTEM,2021-06-25,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-19,0,24480,8M SOLAR,GENERAL CONTRACTOR,27587,27513,30089.31,Cary,27513
21-06340311,SOLAR PV SYSTEM,2021-06-25,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-14,0,13986,8M SOLAR,GENERAL CONTRACTOR,27587,27607,17190.73,Cary,27513
21-06350312,SOLAR PV SYSTEM,2021-07-27,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-14,0,21977,8M SOLAR,GENERAL CONTRACTOR,27587,27519,27012.78,Cary,27519
21-06360364,SOLAR PV SYSTEM,2021-06-25,2021-06-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-29,0,25458,8M SOLAR,GENERAL CONTRACTOR,27587,27518,31291.41,Cary,27518
